dataverse,article,date,year,journal
JOP,Symbols of the Struggle: Descriptive Representation and Issue-Based Symbolism in U.S. House Speeches,2022-09-12,2022,jop
JOP,The Challenger's Winning Coalition: Mobilization of Religion in Ethnic Civil War.,2022-09-09,2022,jop
JOP,Estimation and Inference on Nonlinear and Heterogeneous Effects,2022-09-07,2022,jop
JOP,"Love Thy (Elected) Neighbor? Residential Segregation, Political Representation and Local Public Goods",2022-09-06,2022,jop
JOP,"""Compulsory Voting Diminishes the Relationship Between Winning and Satisfaction With Democracy""",2022-09-05,2022,jop
JOP,Motivated Corporate Political Action: Evidence from an SEC Experiment,2022-09-05,2022,jop
JOP,"Replication Data for ""The Bipartisan Path to Effective Lawmaking""",2022-09-02,2022,jop
JOP,Designing Electoral Districts for Proportional Representation Systems. How Electoral Geography and Partisan Politics Constrain Proportionality and Create Bias,2022-08-31,2022,jop
JOP,Facilitating Development: Evidence from a National-Level Experiment on Improving Bureaucratic Performance in Myanmar,2022-08-30,2022,jop
JOP,When do Economic Elites Support Increasing Taxation? Evidence from the American South,2022-08-29,2022,jop
JOP,Special Interests in Foreign Policy Bureaucracies: Evidence from Foreign Aid,2022-08-25,2022,jop
JOP,"Fake News, Fact Checking, and Partisanship: The Resilience of Rumors in the 2018 Brazilian Elections",2022-08-23,2022,jop
JOP,Fire Alarms for Police Patrols: Experimental Evidence on Co-Production of Public Safety,2022-08-18,2022,jop
JOP,Information Control and Public Support for Social Credit Systems in China,2022-08-13,2022,jop
JOP,Do Voting Advice Applications Change Political Behavior?,2022-08-12,2022,jop
JOP,Are Police Racially Biased in the Decision to Shoot?,2022-08-12,2022,jop
JOP,Replication Data for Evaluating Claims of Intersectionality,2022-08-12,2022,jop
JOP,Lobbyists as Gatekeepers: Theory and Evidence,2022-08-12,2022,jop
JOP,Political awareness and the identity-to-politics link in public opinion,2022-08-05,2022,jop
JOP,Never Forget the First Time: The Persistent Effects of Corruption and the Rise of Populism in Italy,2022-07-30,2022,jop
JOP,The Costs of Court Curbing,2022-07-30,2022,jop
JOP,Environmental Pollution and Authoritarian Politics,2022-07-28,2022,jop
JOP,Facial Recognition Technology and Voter Turnout,2022-07-27,2022,jop
JOP,"Unions, Class Identification and Policy Attitudes",2022-07-24,2022,jop
JOP,"Locked Down, Lashing Out: COVID-19 Effects on Asian Hate Crimes in Italy",2022-07-24,2022,jop
JOP,"""The Political Effects of Opioid Addiction Frames""",2022-07-14,2022,jop
JOP,Democratic Reputations in Crises and War,2022-06-13,2022,jop
JOP,Electoral Backlash or Positive Reinforcement? Wind Power and Congressional Elections in the United States,2022-05-18,2022,jop
JOP,Latino-targeted misinformation and the power of factual corrections,2022-05-03,2022,jop
JOP,Bureaucratic Revolving Doors and Interest Group Participation in Policymaking,2022-05-03,2022,jop
JOP,Officially Mobilizing: Repeated Reminders and Feedback from Local Officials Increase Turnout,2022-04-27,2022,jop
JOP,A Friend Like Me: The Effect of IO Membership on State Preferences,2022-04-27,2022,jop
JOP,Personalizing Moral Reframing in Interpersonal Conversation: A Field Experiment,2022-04-07,2022,jop
JOP,"Out of Sight, Out of Mind? Electoral Responses to Proximity of Health Care",2022-03-27,2022,jop
JOP,Mutual Dependence and Expectations of Cooperation,2022-03-23,2022,jop
JOP,Macro Outsourcing: Evaluating Government Reliance on the Private Sector,2022-03-15,2022,jop
JOP,How the Ultra-Rich Use Media Ownership as a Political Investment,2022-03-11,2022,jop
JOP,Constructive and Destructive Legislative Review: The Government-Opposition Divide in Parliamentary Oversight,2022-03-11,2022,jop
JOP,One-dimensional scaling without apologies,2022-03-09,2022,jop
JOP,Legislative Effectiveness in Multiparty Presidential Systems: Evidence from Mexico’s Chamber of Deputies,2022-03-03,2022,jop
JOP,Rock the Registration: Same Day Registration Increases Turnout of Young Voters,2022-02-14,2022,jop
JOP,The Politics of Stashing Wealth,2022-02-14,2022,jop
JOP,Public Opinion and Nuclear Use: Evidence from Factorial Experiments,2022-02-12,2022,jop
JOP,Constituents Ask Female Legislators to do More,2022-02-07,2022,jop
JOP,Peaceful Neighborhoods and Democratic Differences,2022-02-07,2022,jop
JOP,"Replication Data for ""Do shifts in late-counted votes signal fraud? Evidence from Bolivia""",2022-02-01,2022,jop
JOP,Ethnic Discrimination in Criminal Sentencing in China,2022-01-20,2022,jop
JOP,Knowing How to Give: IO Funding Knowledge and Public Support for Aid Delivery Channels,2022-01-11,2022,jop
JOP,What Makes a Successful Candidate? Political Experience and Low-Information Cues in Elections,2021-12-30,2021,jop
JOP,"Replication Data for ""Strategies of Contestation: International Law, Domestic Audiences, and Image Management""",2021-12-19,2021,jop
JOP,The Social Consequences of Political Anger,2021-12-09,2021,jop
JOP,All (Mayoral) Politics is Local?,2021-12-09,2021,jop
JOP,Authoritarian Infiltration of Organizations: Causes and Consequences,2021-12-09,2021,jop
JOP,Do Politicians Discriminate Against Constituents with an Immigration Background? Field Experimental Evidence from Germany,2021-12-09,2021,jop
JOP,Studying the Impact of ISIS Propaganda Campaigns,2021-12-09,2021,jop
JOP,The Effect of Wartime Legacies on Electoral Mobilization after Civil War,2021-12-09,2021,jop
JOP,Distinguishing between False Positives and Genuine Results: The Case of Irrelevant Events and Elections,2021-12-09,2021,jop
JOP,"More Money, More Turnout? Minimum Wage Increases and Voting",2021-12-09,2021,jop
JOP,How State and Protester Violence Affect Protest Dynamics,2021-12-09,2021,jop
JOP,"Replication Data for ""Trust in Public Policy Algorithms""",2021-12-09,2021,jop
JOP,"Replication Data for ""Persistent Inequealities: The Origins of Intergenerational Associations in Voter Turnout""",2021-12-09,2021,jop
JOP,Humiliation and International Conflict Preferences,2021-12-09,2021,jop
JOP,Peacekeeping and the Enforcement of Intergroup Cooperation: Evidence from Mali,2021-12-09,2021,jop
JOP,"How Voters Use Contextual Information to Reward and Punish: Credit Claiming, Legislative Performance, and Democratic Accountability",2021-12-09,2021,jop
JOP,"""Partisan Enclaves and Information Bazaars: Mapping Selective Exposure to Online News""",2021-12-09,2021,jop
JOP,"Solving Collective Action Problems under Separated and Shared Powers: The Benefits of Consolidating Executive Budgetary Powers, 1895-1940",2021-12-09,2021,jop
JOP,Contact and Context: How Municipal Traffic Stops Shape Citizen Character,2021-12-08,2021,jop
JOP,Partial Effects for Binary Outcome Models with Unobserved Heterogeneity,2021-12-08,2021,jop
JOP,Jailed While Presumed Innocent: The Demobilizing Effects of Pretrial Incarceration.,2021-12-03,2021,jop
JOP,Why Do Governments Tax or Subsidize Fossil Fuels?,2021-11-28,2021,jop
JOP,Just a Number? Voter Evaluations of Age in Candidate Choice Experiments,2021-11-25,2021,jop
JOP,Political Discontent is Associated with Isolating Personality Traits,2021-11-25,2021,jop
JOP,Democratic Hypocrisy and Out-group Threat: Explaining Citizen Support for Democratic Erosion,2021-11-25,2021,jop
JOP,Playing Politics with Environmental Protection: The Political Economy of Designating Protected Areas,2021-11-17,2021,jop
JOP,"The Growth of Campaign Advertising in the U.S., 1880 to 1930",2021-11-12,2021,jop
JOP,Does Public Opinion affect the Preferences of Foreign Policy Leaders? Experimental Evidence from the UK Parliament,2021-11-09,2021,jop
JOP,The Primary Path for Turning Legislative Effectiveness into Electoral Success,2021-11-07,2021,jop
JOP,Incentive Effects of Recall Elections: Evidence from Criminal Sentencing in California Courts,2021-11-06,2021,jop
JOP,You and Whose Army? How Civilian Leaders Leverage the Military’s Prestige to Shape Public Opinion,2021-11-02,2021,jop
JOP,The Real Consequences of Symbolic Politics: Breaking the Soviet Past in Ukraine,2021-11-02,2021,jop
JOP,Rock the Registration: Same Day Registration Increases Turnout of Young Voters,2021-11-01,2021,jop
JOP,On Constitutionalizing a Balanced Budget,2021-11-01,2021,jop
JOP,The 2016 Election and America's Standing Abroad: Quasi-Experimental Evidence of a Trump Effect,2021-10-27,2021,jop
JOP,"""Primary Divisions: How Voters Evaluate Policy and Group Differences in Intra-Party Contests""",2021-10-27,2021,jop
JOP,"""Who Supports QAnon? A Case Study in Political Extremism""",2021-10-27,2021,jop
JOP,Replication Datat fo Aiding War or Peace? The insiders’ view on aid to post-conflict transitions,2021-10-27,2021,jop
JOP,"Replication Data for ""Changing Hearts and Minds? Why Media Messages Designed to Foster Empathy Often Fail""",2021-10-27,2021,jop
JOP,Rebel Group Substitutes and Peace Agreement Amnesties,2021-10-27,2021,jop
JOP,The CPS Voting and Registration Supplement Overstates Minority Turnout,2021-10-27,2021,jop
JOP,Voters and Donors: The Unequal Political Consequences of Fracking,2021-10-27,2021,jop
JOP,Unmasking accountability: Judging performance in an interdependent world,2021-10-27,2021,jop
JOP,"Loyal Leaders, Affluent Agencies: The Budgetary Implications of Political Appointments in the Executive Branch",2021-10-27,2021,jop
JOP,Objective Facts and Elite Cues: Partisan Responses to Covid-19,2021-10-26,2021,jop
JOP,Confirmation Dynamics: Differential Vetting in the Appointment of U.S. Federal Agency Leaders,2021-10-26,2021,jop
JOP,Choice and Choice Set in African Elections,2021-09-21,2021,jop
JOP,Allocating Costly Influence in Legislatures,2021-09-09,2021,jop
JOP,Motivating the Machine: Which Brokers Do Parties Pay?,2021-09-03,2021,jop
JOP,"Replication Data for ""Political Appointments and Outcomes in Federal District Courts""",2021-08-21,2021,jop
JOP,Who Votes More Strategically? Evidence From Canada,2021-08-13,2021,jop
JOP,Partisan Influence in Suspicious Times,2021-08-08,2021,jop
JOP,Degrees of Disrespect,2021-08-05,2021,jop
JOP,The Morning After: Cabinet Instability and the Purging of Ministers after Failed Coup Attempts in Autocracies,2021-08-03,2021,jop
JOP,Replication Data for The Political Consequences of Ethnically Targeted Incarceration: Evidence from Japanese-American Internment During WWII,2021-07-30,2021,jop
JOP,Displacement and Dissimulation in the Syrian Civil War,2021-07-23,2021,jop
JOP,The Politics of Interruptions: Gendered Disruptions of Legislative Speeches,2021-07-21,2021,jop
JOP,Hierarchical Oversight and the Value of Public Office: Evidence from Colonial Peru,2021-07-14,2021,jop
JOP,Competence versus Priorities: Negative Electoral Responses to Education Quality in Brazil,2021-07-14,2021,jop
JOP,"FDI, Unmet Expectations, and the Prospects of Political Leaders: Evidence from Chinese Investment in Africa",2021-07-13,2021,jop
JOP,Black Workers in White Places: Daytime Racial Diversity and White Public Opinion,2021-07-13,2021,jop
JOP,Experimentally Estimating Safety in Numbers in a Single-Party Legislature,2021-07-01,2021,jop
JOP,Audits for Accountability: Evidence from Municipal By-Elections in South Africa,2021-06-23,2021,jop
JOP,"Replication data for: ""All (Mayoral) Politics is Local?""",2021-06-23,2021,jop
JOP,Who Does Voter ID Keep from Voting?,2021-06-17,2021,jop
JOP,The Economic Costs of Democratic Backsliding? Backsliding and State Location Preferences of U.S. Job-seekers,2021-06-14,2021,jop
JOP,Distributional Consequences of Philanthropic Contributions to Public Goods: Self-Serving Elite in Ottoman Istanbul,2021-06-11,2021,jop
JOP,The Missionary Roots of Nationalism: Evidence from China,2021-05-28,2021,jop
JOP,Replication code for Fighting Propaganda with Censorship: A Study of the Ukrainian Ban on Russian Social Media,2021-05-21,2021,jop
JOP,"""Same As It Ever Was? The Impact of Racial Resentment on White Juror Decision-Making""",2021-04-21,2021,jop
JOP,"Corruption, Accountability, and Women’s Access to Power",2021-04-16,2021,jop
JOP,Protest Participation and Attitude Change: Evidence from Ukraine's Euromaidan Revolution,2021-04-14,2021,jop
JOP,Leadership Targeting and Militant Alliance Breakdown,2021-04-14,2021,jop
JOP,"Sensitive Questions, Spillover Effects, and Asking About Citizenship on the U.S. Census",2021-03-22,2021,jop
JOP,"Replication Package for ""Do Major-Power Interventions Encourage the Onset of Civil Conflict? A Structural Analysis""",2020-12-27,2020,jop
JOP,Decree power in parliamentary systems: Theory and evidence from India,2020-12-26,2020,jop
JOP,Can International Courts Enhance Domestic Judicial Review? Separation of Powers and the European Court of Justice,2020-12-21,2020,jop
JOP,How Campaigns Respond to Ballot Position: A New Mechanism for Order Effects,2020-12-21,2020,jop
JOP,Offsetting Policy Feedback Effects: Evidence from the Affordable Care Act,2020-12-21,2020,jop
JOP,"U.S. Patronage, State Capacity, and Civil Conflict",2020-12-21,2020,jop
JOP,How does armed conflict shape investment? Evidence from the mining sector,2020-12-21,2020,jop
JOP,Evaluations of Violence at the Polls: Civilian Victimization and Support for Perpetrators After War,2020-12-21,2020,jop
JOP,Business Owners and Executives as Politicians: The Effect on Public Policy,2020-12-21,2020,jop
JOP,Understanding Journalist Killings,2020-12-21,2020,jop
JOP,Home-price subsidies increase local-level political participation in urban India,2020-12-20,2020,jop
JOP,Not All Elections Are Created Equal: Election Quality and Civil Conflict,2020-12-19,2020,jop
JOP,Deadly Populism: How Local Political Outsiders Drive Duterte’s War on Drugs in the Philippines,2020-12-10,2020,jop
JOP,"Replication Code for ""Can Good Politicians Compensate for Bad Institutions? Evidence from an original survey of Italian mayors""",2020-12-10,2020,jop
JOP,Do Belief Systems Exhibit Dynamic Constraint?,2020-12-10,2020,jop
JOP,How often do people vote while incarcerated? Evidence from Maine and Vermont,2020-12-10,2020,jop
JOP,What Makes Anticorruption Punishment Popular? Individual-level Evidence from China,2020-12-10,2020,jop
JOP,ANES Scales Often Don’t Measure What You Think They Measure,2020-12-10,2020,jop
JOP,Leviathan's Latent Dimensions: Measuring State Capacity for Comparative Political Research,2020-12-10,2020,jop
JOP,Changing Tides: Public Attitudes on Climate Migration,2020-12-10,2020,jop
JOP,"Trojan Horse, Copycat, or Scapegoat? Unpacking the Refugees-Terrorism Nexus",2020-11-19,2020,jop
JOP,Do transitional justice museums persuade visitors? Evidence from a field experiment,2020-11-08,2020,jop
JOP,Agricultural Comparative Advantage and Legislators' Support for Trade Agreements,2020-11-02,2020,jop
JOP,Facing U.S. Extraterritorial Pressure: American Troops in Foreign Courts during the Cold War,2020-11-02,2020,jop
JOP,(Non)Renewewable Terms and Judicial Independence in the European Court of Human Rights,2020-10-26,2020,jop
JOP,(Mis-)Estimating Affective Polarization,2020-10-25,2020,jop
JOP,"""Historical Ownership and Territorial Disputes""",2020-10-24,2020,jop
JOP,"Information, Candidate Selection, and the Quality of Representation: Evidence from Nepal",2020-09-29,2020,jop
JOP,Policy or Partisanship in the United Kingdom? Quasi-Experimental Evidence from Brexit,2020-09-25,2020,jop
JOP,Do Officer-Involved Shootings Reduce Citizen Contact with Government?,2020-09-08,2020,jop
JOP,"Replication Data for Campaign Donations, Judicial Recusal, and Disclosure: A Field Experiment",2020-09-01,2020,jop
JOP,"The Social Dynamics of Collective Action: Evidence from the Diffusion of the Swing Riots, 1830-31",2020-09-01,2020,jop
JOP,Testing Legislator Responsiveness to Citizens and Firms in Single-Party Regimes: A Field Experiment in the Vietnamese National Assembly,2020-09-01,2020,jop
JOP,Effects of Settlement into Ethnic Enclaves on Immigrant Voter Turnout,2020-08-26,2020,jop
JOP,Neither Left-Behind nor Superstar: Ordinary Winners of Digitalization at the Ballot Box,2020-08-21,2020,jop
JOP,"Who’s At The Party? Group Sentiments, Knowledge, and Partisan Identity",2020-08-21,2020,jop
JOP,The Temporal Focus of Campaign Communication,2020-08-21,2020,jop
JOP,Dyadic Representation in the American North and South: The Case of Prohibition,2020-08-06,2020,jop
JOP,Unveiling,2020-08-06,2020,jop
JOP,Unpopular Protest: Mass Mobilization and Attitudes to Democracy in Post-Mubarak Egypt,2020-08-06,2020,jop
JOP,What Have We Learned About Gender From Candidate Choice Experiments? A Meta-analysis of 67 Factorial Survey Experiments,2020-07-30,2020,jop
JOP,"Replication Data for ""The Stability of Immigration Attitudes: Evidence and Implications""",2020-07-30,2020,jop
JOP,"Anti-Normative Messaging, Group Cues,and the Nuclear Ban Treaty",2020-07-30,2020,jop
JOP,Welcome to the Party?,2020-07-30,2020,jop
JOP,"Populist psychology: economics, culture, and emotions",2020-07-30,2020,jop
JOP,How Interpersonal Contact Affects Appellate Review,2020-07-30,2020,jop
JOP,Blood is Thicker than Water: Family Size and Leader Deposition in Medieval and Early Modern Europe,2020-07-30,2020,jop
JOP,State Action to Prevent Violence against Women: The Effect of Women’s Police Stations on Men’s Attitudes toward Gender-based Violence,2020-07-30,2020,jop
JOP,Does Homeownership Influence Political Behavior? Evidence from Administrative Data,2020-07-30,2020,jop
JOP,"""Diffusing political concerns: How unemployment information passed between social ties influences Danish voters""",2020-07-30,2020,jop
JOP,Do Authoritarian Elections Help the Poor? Evidence from Russian Cities,2020-07-30,2020,jop
JOP,"Dyadic Conflict: Elites, Citizens, and War",2020-07-30,2020,jop
JOP,Does International Terrorism affect Public Attitudes toward Refugees? Evidence from a Large-scale Natural Experiment,2020-07-30,2020,jop
JOP,Family matters: The double-edged sword of police-community connections,2020-07-30,2020,jop
JOP,Strategic Delay and the Use of Incompatibility Rulings at the German Constitutional Court,2020-07-30,2020,jop
JOP,The Budgetary Origins of Fiscal-Military Prowess,2020-07-25,2020,jop
JOP,How do third parties affect compliance in the trade regime?,2020-07-25,2020,jop
JOP,"""Civil Service and Patronage in Bureaucracies"" by John Huber and Michael Ting",2020-07-20,2020,jop
JOP,National Penalties Reversed: The Local Politics of Citizenship and Politician Responsiveness to Immigrants,2020-07-20,2020,jop
JOP,"Big brother sees you, but does he rule you? The relationship between birth order and political candidacy.",2020-07-20,2020,jop
JOP,Party Systems and Political Centralization and Decentralization,2020-07-20,2020,jop
JOP,Replication Data for Social Mobilisation in Partisan Spaces,2020-07-20,2020,jop
JOP,Irrelevant Events and Voting Behavior: Replications Using Principles from Open Science,2020-07-14,2020,jop
JOP,"The Psychophysiology of Political Ideology: Replications, Reanalysis and Recommendations",2020-07-14,2020,jop
JOP,"""Issues vs. Affect: How Do Elite and Mass Polarization Compare?""",2020-07-02,2020,jop
JOP,Replication Data for Reevaluating the Substantive Representation of LGB Americans: A Multiverse Analysis,2020-07-02,2020,jop
